cpu,detail_buf,detail_count,detail_file,detail_frompid,detail_gid_writer,detail_i_mode,detail_inode,detail_k__dev,detail_kgid,detail_kuid,detail_len,detail_msg,detail_pathname,detail_s_dev_inode,detail_sock,detail_topid,detail_uid_inode,detail_uid_writer,event,flags,process,raw,tgid,tid,timestamp
6,12970367410361141640,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,68,25693,25693,2861848.105397
6,12970367410361141641,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,69,25693,25693,2861848.105401
6,12970367410361141642,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,70,25693,25693,2861848.105404
6,12970367410361141643,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,71,25693,25693,2861848.105407
6,12970367410361141644,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,72,25693,25693,2861848.10541
6,12970367410361141645,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,73,25693,25693,2861848.105413
6,12970367410361141646,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,74,25693,25693,2861848.105416
6,12970367410361141647,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,75,25693,25693,2861848.105418
6,12970367410361141648,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,76,25693,25693,2861848.105421
6,12970367410361141649,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,77,25693,25693,2861848.105425
6,12970367410361141650,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,78,25693,25693,2861848.105428
6,12970367410361141651,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,79,25693,25693,2861848.105431
6,12970367410361141652,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,80,25693,25693,2861848.105434
6,12970367410361141653,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,81,25693,25693,2861848.105437
